Card ID,Name,Game,Card Type,Card Size,Cycle,Found In,Acquisition,Flavor,Slot,Transforms Into,Traits,Attack Dice,Precision,Power,Evasion Rerolls,Evasion Bonus,Armor Dice,Resistances,Backside text,Asterisk Effect,AB for Parsing,Ability Box,Ability Box Literal,FAQ,Errata
"AJ0156, AJ0157, AJ0158, AJ0159",Fists,Odyssey,Gear,Mini American,Cycle I,,Other,,2 Hands,,Flesh,2,+0,1 Red,,,,,,,"This item can be used as a @OneHanded Weapon, with the following modifiers: -1 @d10","This item can be used as a OneHandedIcon Weapon, with the following modifiers: -1 d10Icon",,,
"AJ0160, AJ0161, AJ0162",Sail Spolas,Odyssey,Gear,Mini American,Cycle I,,"Crafting, Story",Shields little more than dignity,Armor,,"Cloth, Flammable",,,,,,,,,,+1 Courage. $Fate $Discard {Second Chance},+1 Courage. Fate DiscardCost Second Chance,,,
"AJ0163, AJ0164",Shipwrecker Shield,Odyssey,Gear,Mini American,Cycle I,,"Crafting, Story",Wreck and rule!,1 Hand,,"Wood, Shield, Flammable",2,+0,1 Red,2,,,,,,<Crit Evade> Place 2 {Opening} tokens in the Kratos Pool,Crit Evade: Place 2 Opening tokens in the Kratos Pool,,,
"AJ0165, AJ0166",Siren Panoply Armor,Odyssey,Gear,Mini American,Cycle I,,"Crafting, Story",Carved from several AE-siren shells,Armor,,Shell,,,,,,,,,,$Fate {Reinforce 1},Fate Reinforce 1,,,
"AJ0169, AJ0170",Sirenteeth,Odyssey,Gear,Mini American,Cycle I,,"Crafting, Story",Broken shells make sharp teeth,1 Hand,,"Shell, Knife",3,+0,1 Red,,,,,,,{Opening 1}. {Reposition 2},Opening 1. Reposition 2,,,
"AJ0171, AJ0172",Boatmace,Odyssey,Gear,Mini American,Cycle I,,"Crafting, Story",Rock the boat,1 Hand,,"Wood, Club, Flammable",1,+2,2 Red,,,,,,,{Break 1},Break 1,,,
"AJ0175, AJ0176",Kratos Kopis,Odyssey,Gear,Mini American,Cycle I,,Crafting,To the dead gods do we raise our prayers,1 Hand,,"Bone, Knife",2,+1,1 Red,,,,,,,{Carving 1}. {Sacrifice},Carving 1. Sacrifice,,,
"AJ0183, AJ0184",Naval Ram,Odyssey,Gear,Mini American,Cycle I,,Crafting,Full speed ahead,2 Hands,,"Wood, Club, Flammable",1,+0,"1 Red, 1 Black. Danger 5+ +1 Power",,,,,,,{Auto-break 2}. {Break 2}. {Power Re-roll 1}. {Cumbersome}. <Full Miss> Place 2 {Break} tokens in the Kratos Pool,Auto-break 2. Break 2. Power Re-roll 1. Cumbersome. Full Miss: Place 2 Break tokens in the Kratos Pool,,,
"AJ0185, AJ0186",Heavy Kopis,Odyssey,Gear,Mini American,Cycle I,,Crafting,"Olympians may be gone, but their memory lingers",1 Hand,,"Bone, Knife",2,+3,1 Red. Danger 8+ +1 Power,,,,,,,"{Carving 1}. {Opening 1}. {Sacrifice}. %Danger 2+% When you are about to perform a Power Roll, gain +3 @Danger to gain +1 @RedPowerDie for this Attack","Carving 1. Opening 1. Sacrifice. Danger 2+ When you are about to perform a Power Roll, gain +3 DangerIcon to gain +1 RedPowerDieIcon for this Attack",,,
"AJ0187, AJ0188",Jawbone Axe,Odyssey,Gear,Mini American,Cycle I,,Crafting,Made from the jaw of a giant speckled shark,1 Hand,,"Bone, Axe",2,+0,1 Black,,,,,,,{Deadly}. %Danger 6+% {Auto-break 1},Deadly. Danger 6+ Auto-break 1,,,
"AJ0189, AJ0190",Ballista Gun,Odyssey,Gear,Mini American,Cycle I,,Crafting,This naval siege weapon got a new lease on life,1 Hand,,"Wood, Bow, Flammable",1,+2,1 Black. Danger 7+ +1 Power,,,,,,,{Ranged 4-6}. {Cumbersome}. {Commit},Ranged 4-6. Cumbersome. Commit,,,
"AJ0191, AJ0192",Petrified Javelin,Odyssey,Gear,Mini American,Cycle I,,Crafting,Eschaton has unearthed the undersea forests,1 Hand,,"Wood, Shell, Javelin, Flammable",2,+1,1 Red,,,,,,,{Ranged 2-4}. {Cumbersome},Ranged 2-4. Cumbersome,,,
"AJ0193, AJ0194",Liontail Whip,Odyssey,Gear,Mini American,Cycle I,,Crafting,Long-tailed lions will soon go extinct,1 Hand,,"Bone, Leather, Whip, Flammable",3,+1,1 Red,,,,,,,{Reach 2}. <Full Hit> You may gain the @PriorityTarget Priority Target token. %Danger 6+% {Spotlight},Reach 2. Full Hit: You may gain the PriorityTargetIcon Priority Target token. Danger 6+ Spotlight,,,
"AJ0195, AJ0196",Whalebone Bident,Odyssey,Gear,Mini American,Cycle I,,Crafting,Make a wish,2 Hands,,"Bone, Spear",1,+0,2 Black,,,,,,,{Reach 2}. <Full Miss> Place 1 Opening token in the Kratos Pool. %Danger 5+% {Diversion},Reach 2. Full Miss: Place 1 Opening token in the Kratos Pool. Danger 5+ Diversion,,,
"AJ0197, AJ0198",Longmast Spear,Odyssey,Gear,Mini American,Cycle I,,Crafting,It bears the mark of Rhodes. But we did not sail there..,2 Hands,,"Wood, Spear, Flammable",3,+2,1 Red,,,,,,,{Reach 2}. {Reposition 1}. %Danger 5+% {Opening 2},Reach 2. Reposition 1. Danger 5+ Opening 2,,,
"AJ0199, AJ0200, AJ0201",Iapetus Lifeguard,Odyssey,Gear,Mini American,Cycle I,,Crafting,One small step makes all the difference,Support,,"Argotech, Augment, Helm",,,,,,,,,,<Reaction> $Fate $Exhaust {Reflex},Reaction Fate Exhaust Reflex,,,
"AJ0206, AJ0207, AJ0208",Spring Harness,Odyssey,Gear,Mini American,Cycle I,,Crafting,To stand when others would fall,Support,,"Argotech, Wood, Footwear, Flammable, Metal",,,,,,,,,,$Fate $Exhaust {Stand up}. You can use this ability while knocked down,Fate Exhaust Stand up. You can use this ability while knocked down,,,
"AJ0209, AJ0210",Smelted Breastplate,Odyssey,Gear,Mini American,Cycle I,,Crafting,Noble deeds reforged to serve a higher purpose,Armor,,"Metal, Bronze",,,,,,2 Red,,,,{Tumble}. $Fate {Reinforce 1}. $Fate $Discard {Second Chance}. %Danger 8+% {Reinforce 1},Tumble. Fate Reinforce 1. Fate DiscardCost Second Chance. Danger 8+ Reinforce 2 instead,,,
"AJ0211, AJ0212",Smelted Aspis,Odyssey,Gear,Mini American,Cycle I,,Crafting,You will not be forgotten,1 Hand,,"Shield, Metal, Bronze",2,+2,1 Red,,,,,,,$Fate $Exhaust {Block 1}. <Reaction> $Fate $Exhaust {Reflex}. <Full Evade> You may immediately resolve Knockback 2 against the Primordial. %Danger 5+% <Crit Evade> Place 2 Break or Opening tokens in the Kratos Pool,Fate Exhaust Block 1. Reaction Fate Exhaust Reflex. Full Evade: You may immediately resolve Knockback 2 against the Primordial. Danger 5+ Crit Evade: Place 2 Break or Opening tokens in the Kratos Pool,,,
"AJ0213, AJ0214",Smelted Xiphos,Odyssey,Gear,Mini American,Cycle I,,Crafting,Legacy remelted,1 Hand,,"Metal, Bronze, Sword",1,+1,3 Red,,,,,,,{Power Re-roll 1}. %Danger 6+% {Power Re-roll 1},Power Re-roll 1. Danger 6+ Power Re-roll 2 instead,,,
"AJ0215, AJ0216",Impetus Breakers,Odyssey,Gear,Mini American,Cycle I,,Crafting,Deadstop,Support,,"Rope, Metal, Wood, Flammable",,,,,,,,,,$Fate {Knockback Reduction 3},Fate Knockback Reduction 3,Fate You may reduce suffered Knockbacks by 1,,
"AJ0217, AJ0218",Analyticos Module,Odyssey,Gear,Mini American,Cycle I,,Crafting,It's over 9000..,Support,,"Argotech, Augment, Helm",,,,,,,,,,$Fate $Exhaust Place 1 Break or 1 Opening token in the Kratos Pool. %Danger 6+% $Fate $Exhaust Place 2 Break or 2 Opening tokens in the Kratos Pool,Fate Exhaust Place 1 Break or 1 Opening token in the Kratos Pool. Danger 6+ Fate Exhaust Place 2 Break or 2 Opening tokens in the Kratos Pool,,,
AJ0219,Primordial Lure,Odyssey,Gear,Mini American,Cycle I,,Crafting,A perfect moment is all it takes,Support,,"Primordial, Bone",,,,,,,,,,Unique. $Fate $Energy Place the top BP card at the bottom of the deck,Unique. Fate Energy Place the top BP card at the bottom of the deck,,,
"AJ0220, AJ0221",Hekaton Panoply Armor,Odyssey,Gear,Mini American,Cycle I,,Crafting,"Weighted with stone slabs, lifted by the Centimanes' legacy",Armor,,"Primordial, Bronze, Metal",,,,,,3 Red,,,,{Knockback Reduction 2}. $Fate {Reinforce 1}. <Crit Evade> Gain {Rocksteady} until you finish resolving this Attack. %Danger 9+% {Rocksteady},Knockback Reduction 2. Fate Reinforce 1. Crit Evade: Gain Rocksteady until you finish resolving this Attack. Danger 9+ Rocksteady,You may reduce suffered Knockbacks by up to 2. Fate Reinforce 1. Crit Evade: Gain Rocksteady until you finish resolving this AI card. Danger 9+ Rocksteady,,
"AJ0222, AJ0223",Knuckle Shield,Odyssey,Gear,Mini American,Cycle I,,Crafting,How you really feel,1 Hand,,"Primordial, Bone, Shield",1,+0,"1 Red, 1 Black. Danger 8+ +1 Power",,,1 Red,,,,{Knockback Reduction 1}. $Fate <Wound> {BP Suppress}. $Fate $Fate $Exhaust {Block 1}. %Danger 6+% <Crit Evade> Gain {Stalwart} until the end of this Attack,Knockback Reduction 1. Fate Wound: BP Suppress. Fate Fate Exhaust Block 1. Danger 6+ Crit Evade: Gain Stalwart until the end of this Attack,You may reduce suffered Knockbacks by 1. Fate Wound: BP Suppress. Fate Fate Exhaust Block 1. Danger 6+ Crit Evade: Gain Stalwart until the end of this AI card,,
"AJ0224, AJ0225",Pillarmace,Odyssey,Gear,Mini American,Cycle I,,Crafting,These columns were consecrated in the names of the Olympians,2 Hands,,"Relief, Stone, Club",4,+0,1 Red. Danger 5+ +1 Power,,,,,,,{Break 1}. <Full Hit> {Diversion}. <Full Miss> Place 1 Break token in the Kratos Pool,Break 1. Full Hit: Diversion. Full Miss: Place 1 Break token in the Kratos Pool,,,
"AJ0226, AJ0227",Hekatomb,Odyssey,Gear,Mini American,Cycle I,,Crafting,Watch your fingers,1 Hand,,"Wood, Metal, Blade, Flammable",3,+3,1 Red. Danger 5+ +1 Power,,,,,,,{Break 1}. {Carving 1}. {Deadly},Break 1. Carving 1. Deadly,,,
"AJ0228, AJ0229",Rebound Hammer,Odyssey,Gear,Mini American,Cycle I,,Crafting,Use your head,2 Hands,,"Relief, Stone, Club",1,+0,"1 Red, 2 Black. Danger 8+ +1 Power",,,,,,,{Auto-break 1}. {Power Re-roll 1}. {Pushback 1}. {Cumbersome}. <Full Miss> Place 2 Opening or 2 Break tokens in the Kratos Pool,Auto-break 1. Power Re-roll 1. Pushback 1. Cumbersome. Full Miss: Place 2 Opening or 2 Break tokens in the Kratos Pool,,,
AJ0230,Gigan,Odyssey,Gear,Mini American,Cycle I,,Crafting,"Stones to cut stones, what beautiful symmetry",3 Hands,,"Labyrinth, Club, Slabsword, Primordial",2,+0,1 Black. +1 Red. Danger 6+ +1 Power,,,,,,,Unique. -1 @Speed. {Auto-break 1}. {Pushback 1}. {Cumbersome}. <Full Miss> Place 2 Opening or 2 Break tokens in the Kratos Pool,Unique. -1 SpeedIcon. Auto-break 1. Pushback 1. Cumbersome. Full Miss: Place 2 Opening or 2 Break tokens in the Kratos Pool,,,
"AJ0231, AJ0232",Sail Camo,Odyssey,Gear,Mini American,Cycle I,,Crafting,"Cloak of Nyx it is not, but it will do",Support,,"Argotech, Cloth, Camo, Flammable",,,,,,,,,,$Fate $Exhaust <Start of Battle> Move up to 3 spaces and {Hide}. $Fate $Exhaust {Hide}. %Danger 6+% $Discard {Dodge},Fate Exhaust Start of Battle: Move up to 3 spaces and Hide. Fate Exhaust Hide. Danger 6+ DiscardCost Dodge,,,
"AJ0233, AJ0234",Tackle Sheath,Odyssey,Gear,Mini American,Cycle I,,Crafting,Better take a spare than be left with none,Support,,"Leather, Sheath, Flammable",,,,,,,,,,<Start of Battle> Choose 1 @OneHanded @Gear from the Argo Armory and place it under this card. This @Gear is not considered to be equipped on your Titan and can only be used with the following ability: $Fate $Exhaust Declare this @OneHanded @Gear as the Active Weapon during an Attack. %Danger 8+% Ignore this card ability's @Fate cost,Start of Battle: Choose 1 OneHandedIcon GearIcon from the Argo Armory and place it under this card. This GearIcon is not considered to be equipped on your Titan and can only be used with the following ability: Fate Exhaust Declare this OneHandedIcon GearIcon as the Active Weapon during an Attack. Danger 8+ Ignore this card ability's FateIcon cost,,,
"AJ0235, AJ0236",Aeolipile Engine,Odyssey,Gear,Mini American,Cycle I,,Crafting,"Spirit of Hermes, grant me this small favor",Support,,"Metal, Bronze, Argotech, Ambrosia",,,,,,,,,,$Fate $Exhaust Gain +2 @Speed for your next @MovementAction this turn. $Fate $Exhaust {Stand up}. You can use this ability while knocked down. %Danger 6+% Gain +3 @Speed instead,Fate Exhaust Gain +2 SpeedIcon for your next MovementActionIcon this turn. Fate Exhaust Stand up. You can use this ability while knocked down. Danger 6+ Gain +3 SpeedIcon instead,,,
